id,name_short,name,typ,geschlecht,partei,regierungvor,regierungnach,power,bundesland
SYBE,SYBE,Sybille Benning,1,2,1,1,2,2,7
SYKO,SYKO,Sylvia Kotting-Uhl,1,2,3,2,1,2,8
TARN,TARN,Tabea Rößner,1,2,3,2,1,2,7
TASC,TASC,Tankred Schipanski,1,1,1,1,2,2,16
TC,TC,Tino Chrupalla,1,1,6,2,2,1,14
TE,TE,Thomas Ehrhorn,1,1,6,2,2,2,3
TER,TER,Thomas Erndl,1,1,1,1,2,2,8
TF,TF,Thorsten Frei,1,1,1,1,2,2,8
TG,TG,Timon Gremmels,1,1,2,1,1,2,6
TH,TH,Thomas Hitschler,1,1,2,1,1,2,7
THHA,THHA,Thomas Hacker,1,1,4,2,1,2,9
THSE,THSE,Thomas Seitz,1,1,6,2,2,2,8
TL,TL,Thomas Lutze,1,1,5,2,2,2,10
TLI,TLI,Tobias Lindner,1,1,3,2,1,2,7
TM,TM,Till Mansmann,1,1,4,2,1,2,6
TMP,TMP,Tobias M. Peterka,1,1,6,2,2,2,9
TP,TP,Tobias Pflüger,1,1,5,2,2,2,8
TS,TS,Thomas Sattelberger,1,1,4,2,1,2,9
TSO,TSO,Tino Sorge,1,1,1,1,2,2,15
UB,UB,Ulrike Bahr,1,2,2,1,1,2,9
UDSC,UDSC,Udo Schiefner,1,1,2,1,1,2,5
UG,UG,Ulrich Grötsch,1,1,2,1,1,2,7
UJ,UJ,Ulla Jelpke,1,2,5,2,2,2,5
UL,UL,Ulrich Lechte,1,1,4,2,1,2,9
ULIH,ULIH,Ulla Ihnen,1,2,4,2,1,2,3
ULLA,ULLA,Ulrich Lange,1,1,1,1,2,2,9
ULS,ULS,Ulle Schauws,1,1,3,2,1,2,5
UN,UN,Ulli Nissen,1,2,2,1,1,2,6
US,US,Ulla Schmidt,1,2,2,1,1,2,5
UTH,UTH,Udo Theodor Hemmelgarn,1,1,6,2,2,2,5
UTVO,UTVO,Ute Vogt,1,2,2,1,1,2,8
UW,UW,Uwe Witt,1,1,6,2,2,2,5
UWKE,UWKE,Uwe Kekeritz,1,1,3,2,1,2,9
VM,VM,Volker Münz,1,1,6,2,2,2,8
VOVO,VOVO,Volkmar Vogel,1,1,1,1,2,2,16
VU,VU,Volker Ullrich,1,1,1,1,2,2,9
WIES,WIES,Wiebke Esdar,1,2,2,1,1,2,5
WIGO,WIGO,Wilhelm von Gottberg,1,1,6,2,2,2,3
WK,WK,Wolfgang Kubicki,1,1,4,2,1,2,1
WOST,WOST,Wolfgang Stefinger,1,1,1,1,2,2,9
WOWI,WOWI,Wolfgang Wiehle,1,1,6,2,2,2,9
WS,WS,Wolfang Schäuble,1,1,1,1,2,1,8
WSB,WSB,Wieland Schinnenburg,1,1,4,2,1,2,2
WSK,WSK,Wolfgang Strengmann-Kuhn,1,1,3,2,1,2,6
YF,YF,Yasmin Fahimi,1,2,2,1,1,2,3
YVMA,YVMA,Yvonne Magwas,1,2,1,1,2,2,14
ZN,ZN,Zaklin Nastic,1,2,5,2,2,2,1
