id,name,typ,geschlecht,partei,regierung,power,bundesland
CDU,Christlich Demokratische Union Deutschlands,2,99,CDU,1,99,99
SPD,Sozialdemokratische Partei Deutschlands,2,99,SPD,1,99,99
FDP,Frei Demokratische Partei,2,99,FDP,2,99,99
GRUENE,Bündnis 90/ Die Grünen,2,99,GRUENE,2,99,99
LINKE,Die Linke,2,99,LINKE,2,99,99
AFD,Alternative für Deutschland,2,99,AFD,2,99,99
JH,Jürgen Hardt,1,1,CDU,1,2,5
BB,Bernd Baumann,1,1,AFD,2,2,2
AOE,Aydan Özoğuz,1,2,SPD,1,2,2
AGL,Alexander Graf Lambsdorff,1,1,FDP,2,2,5
CH,Christoph Hoffmann,1,1,FDP,2,2,8
APH,Armin-Paulus Hampel,1,1,AFD,2,2,3
AG,Alexander Gauland,1,1,AFD,2,2,12
JK,Jan Korte,1,1,LINKE,2,2,15
NR,Norbert Röttgen,1,1,CDU,1,2,5
ON,Omid Nouripour,1,1,GRUENE,2,2,6
BH,Britta Haßelmann,1,2,GRUENE,2,2,5
AB,Annalena Baerbock,1,2,GRUENE,2,1,12
MB,Marco Bülow,1,1,NA,2,2,5
RB,Reinhard Brandl,1,1,CDU,1,2,9
MASZ,Marie-Agnes Strack-Zimmermann,1,2,FDP,2,2,5
AD,Alexander Dobrindt,1,1,CDU,1,2,9
MRA,Mechthild Rawert,1,2,SPD,1,2,11
SM,Siemtje Möller,1,2,SPD,1,2,3
HO,Henning Otte,1,1,CDU,1,2,3
KAL,Karl A. Lamers,1,1,CDU,1,2,8
PP,Petra Pau,1,2,LINKE,2,2,11
OS,Olaf Scholz,1,1,SPD,1,2,12
TE,Thomas Ehrhorn,1,1,AFD,2,2,3
PB,Peter Boehringer,1,1,AFD,2,2,9
AW,Alice Weidel,1,2,AFD,2,2,8
UN,Ulli Nissen,1,2,SPD,1,2,6
AL,Armin Laschet,1,1,CDU,1,1,5
DB,Dietmar Bartsch,1,1,LINKE,2,2,13
TC,Tino Chrupalla,1,1,AFD,2,1,14
KG,Kay Gottschalk,1,1,AFD,2,2,5
CD,Christian Dürr,1,1,FDP,2,2,3
GL,Gesine Lötzsch,1,2,LINKE,2,2,11
RBH,Ralf Brinkhaus,1,1,CDU,1,2,5
WS,Wolfang Schäuble,1,1,CDU,1,1,8
HH,Heike Hänsel,1,2,LINKE,2,2,8
VM,Volker Münz,1,1,AFD,2,2,8
CR,Claudia Roth,1,2,GRUENE,2,2,9
RM,Rolf Mützenich,1,1,SPD,1,2,5
ABG,Agnieszka Brugger,1,2,GRUENE,2,2,8
JT,Jürgen Trittin,1,1,GRUENE,2,2,3
CL,Christian Lindner,1,1,SPD,1,1,5
MF,Markus Frohnmeier,1,1,AFD,2,2,8
KD,Katharina Dröge,1,2,GRUENE,2,2,5
SE,Saskia Esken,1,2,SPD,1,2,8
JDW,Johann David Wadephul,1,1,CDU,1,2,1
US,Ulla Schmidt,1,2,SPD,1,2,5
CS,Carsten Schneider,1,1,SPD,1,2,16
KGE,Katrin Göring-Eckardt,1,2,GRUENE,2,2,16
PBY,Petr Bystron,1,1,AFD,2,2,9
MD,Malu Dreyer,1,2,SPD,1,2,7
CHH,Christian Haase,1,1,CDU,1,2,5
ZN,Zaklin Nastic,1,2,LINKE,2,2,1
